Index,PMID,Substrate,Substrate PubChem CID,Metabolite,Metabolite PubChem CID,Metabolite ChEBI,Metabolite HMDB,Metabolite KEGG,Metabolite fooDB,Metabolite Metabolights,Extra Source,Gene,Gene ID,Alteration,high/low-throughput,Associative mode,human/mouse,Sample,Experimental method,Measurement technique,Description,Condition,DOID
5,18820681,,,Succinate,160419,CHEBI:30031,,,FDB001931,MTBLC30031,food; homo sapiens,IL1B,3553,activation,low-throughput,causally,human,human Peripheral blood mononuclear cells and Mouse BMDCs,cell culture,"real-time qPCR,ELISA","As Erk is a ��downstream�� signaling component of TLR pathways, we investigated whether succinate alone or in combination with TLR ligands was able to induce proinflammatory cytokine production by human DCs. Succinate alone did not have any great effect on a variety of cytokines and chemokines produced by activated human DCs. However, succinate augmented the expression of TNF and IL-1b by iMoDCs when used in combination with the TLR3 ligand poly(I:C) or the TLR7 agonist imiquimod.",healthy,
5,18820681,,,Succinate,160419,CHEBI:30031,,,FDB001931,MTBLC30031,food; homo sapiens,TNF,7124,activation,low-throughput,causally,human,human Peripheral blood mononuclear cells and Mouse BMDCs,cell culture,"real-time qPCR,ELISA","As Erk is a ��downstream�� signaling component of TLR pathways, we investigated whether succinate alone or in combination with TLR ligands was able to induce proinflammatory cytokine production by human DCs. Succinate alone did not have any great effect on a variety of cytokines and chemokines produced by activated human DCs. However, succinate augmented the expression of TNF and IL-1b by iMoDCs when used in combination with the TLR3 ligand poly(I:C) or the TLR7 agonist imiquimod.",healthy,
5,18820681,,,Succinate,160419,CHEBI:30031,,,FDB001931,MTBLC30031,food; homo sapiens,MAPK3,5595,activation,low-throughput,causally,human,human Peripheral blood mononuclear cells and Mouse BMDCs,cell culture,"real-time qPCR,ELISA","Succinate alone was able to induce phosphorylation of Erk1/2 in human iMoDCs,in agreement with the reported activity of succinate on GPR91 transfectants. Polyinosinic-polycytidylic acid (poly(I:C)) alone showed a very modest activation of this signaling pathway, but when both poly(I:C) and succinate were present, Erk1/2 phosphorylation was synergistically induced.",healthy,
5,18820681,,,Succinate,160419,CHEBI:30031,,,FDB001931,MTBLC30031,food; homo sapiens,MAPK1,5594,activation,low-throughput,causally,human,human Peripheral blood mononuclear cells and Mouse BMDCs,cell culture,"real-time qPCR,ELISA","Succinate alone was able to induce phosphorylation of Erk1/2 in human iMoDCs,in agreement with the reported activity of succinate on GPR91 transfectants. Polyinosinic-polycytidylic acid (poly(I:C)) alone showed a very modest activation of this signaling pathway, but when both poly(I:C) and succinate were present, Erk1/2 phosphorylation was synergistically induced.",healthy,
5,18820681,,,Succinate,160419,CHEBI:30031,,,FDB001931,MTBLC30031,food; homo sapiens,CCL2,6347,activation,low-throughput,causally,human,human Peripheral blood mononuclear cells and Mouse BMDCs,cell culture,"real-time qPCR,ELISA","In addition, activation of iMoDCs with poly(I:C) or imiquimod in the presence of succinate induced substantial enhancement of the expression of CCL2 mRNA and CXCL8 mRNA (data not shown). Therefore, we concluded that succinate potentiates the production and secretion of proinflam matory mediators by iMoDCs when the cells are stimulated through some TLRs.",healthy,
5,18820681,,,Succinate,160419,CHEBI:30031,,,FDB001931,MTBLC30031,food; homo sapiens,CXCL8,3576,activation,low-throughput,causally,human,human Peripheral blood mononuclear cells and Mouse BMDCs,cell culture,"real-time qPCR,ELISA","In addition, activation of iMoDCs with poly(I:C) or imiquimod in the presence of succinate induced substantial enhancement of the expression of CCL2 mRNA and CXCL8 mRNA (data not shown). Therefore, we concluded that succinate potentiates the production and secretion of proinflam matory mediators by iMoDCs when the cells are stimulated through some TLRs.",healthy,
5,18820681,,,Succinate,160419,CHEBI:30031,,,FDB001931,MTBLC30031,food; homo sapiens,Tnf,21926,activation,low-throughput,causally,mouse,human Peripheral blood mononuclear cells and Mouse BMDCs,cell culture,"real-time qPCR,ELISA",succinate augmented the expression of TNF and IL-1b by iMoDCs when used in combination with the TLR3 ligand poly(I:C) or the TLR7 agonist imiquimod.,healthy,
5,18820681,,,Succinate,160419,CHEBI:30031,,,FDB001931,MTBLC30031,food; homo sapiens,Il1b,16176,activation,low-throughput,causally,mouse,human Peripheral blood mononuclear cells and Mouse BMDCs,cell culture,"real-time qPCR,ELISA",succinate augmented the expression of TNF and IL-1b by iMoDCs when used in combination with the TLR3 ligand poly(I:C) or the TLR7 agonist imiquimod.,healthy,
6,21531334,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,Cdkn1b,12576,inhibition,low-throughput,causally,mouse,colon,cell culture,"RT-qPCR,Western blot assay,HPLC analysis,LC/MS analysis","We also tested whether butyrate inhibits autophagy in GF colonocytes. As expected, it decreases p27 phosphorylation and LC3-II compared to untreated GF colonocytes.",healthy,
6,21531334,,,Butyrate,104775,CHEBI:17968,,,,MTBLC17968,homo sapiens,Map1lc3b,67443,inhibition,low-throughput,causally,mouse,colon,cell culture,"RT-qPCR,Western blot assay,HPLC analysis,LC/MS analysis","We also tested whether butyrate inhibits autophagy in GF colonocytes. As expected, it decreases p27 phosphorylation and LC3-II compared to untreated GF colonocytes.",healthy,
